,SalePrice,BsmtQualnewvar,FireplaceQunewvar,GarageTypenewvar
0,208500,Gd,Missing,Attchd
1,181500,Gd,TA,Attchd
2,223500,Gd,TA,Attchd
3,140000,TA,Gd,Detchd
4,250000,Gd,TA,Attchd
5,143000,Gd,Missing,Attchd
6,307000,Ex,Gd,Attchd
7,200000,Gd,TA,Attchd
8,129900,TA,TA,Detchd
9,118000,TA,TA,Attchd
10,129500,TA,Missing,Detchd
11,345000,Ex,Gd,BuiltIn
12,144000,TA,Missing,Detchd
13,279500,Gd,Gd,Attchd
14,157000,TA,Fa,Attchd
15,132000,TA,Missing,Detchd
16,149000,TA,TA,Attchd
17,90000,Missing,Missing,CarPort
18,159000,TA,Missing,Detchd
19,139000,TA,Missing,Attchd
20,325300,Ex,Gd,BuiltIn
21,139400,TA,Gd,Attchd
22,230000,Gd,Gd,Attchd
23,129900,Gd,TA,Attchd
24,154000,TA,TA,Attchd
25,256300,Gd,Gd,Attchd
26,134800,TA,Missing,Detchd
27,306000,Ex,Gd,Attchd
28,207500,TA,Gd,Attchd
29,68500,TA,Missing,Detchd
30,40000,TA,Missing,Detchd
31,149350,TA,Missing,Attchd
32,179900,Ex,Missing,Attchd
33,165500,TA,Gd,Attchd
34,277500,Ex,Gd,Attchd
35,309000,Ex,Gd,BuiltIn
36,145000,Gd,Missing,Attchd
37,153000,TA,TA,Attchd
38,109000,TA,Missing,Detchd
39,82000,Missing,Missing,Missing
40,160000,TA,TA,Attchd
41,170000,TA,Gd,Attchd
42,144000,Gd,Missing,Attchd
43,130250,Gd,Missing,Detchd
44,141000,TA,Missing,Attchd
45,319900,Ex,Gd,Attchd
46,239686,Ex,Ex,Attchd
47,249700,Gd,Missing,Attchd
48,113000,TA,Missing,Missing
49,127000,TA,Missing,Attchd
50,177000,Gd,Missing,Attchd
51,114500,TA,Gd,Detchd
52,110000,Gd,Missing,CarPort
53,385000,Ex,Gd,Attchd
54,130000,TA,TA,Detchd
55,180500,TA,Gd,Attchd
56,172500,Gd,Missing,Attchd
57,196500,Gd,Missing,Attchd
58,438780,Ex,Gd,BuiltIn
59,124900,TA,Missing,Detchd
60,158000,Gd,Missing,Detchd
61,101000,TA,Missing,Detchd
62,202500,Gd,Gd,Attchd
